sort,n,seconds
shell 0,10,3.33333e-06
shell 0,100,1.93333e-05
shell 0,1000,0.000450333
shell 0,10000,0.0313853
shell 0,100000,2.16697
shell 1,10,1.66667e-06
shell 1,100,9e-06
shell 1,1000,0.000445333
shell 1,10000,0.027163
shell 1,100000,2.86163
shell 2,10,1.66667e-06
shell 2,100,2.53333e-05
shell 2,1000,0.000690333
shell 2,10000,0.0401673
shell 2,100000,3.70179
shell 3,10,2.66667e-06
shell 3,100,1.7e-05
shell 3,1000,0.000517667
shell 3,10000,0.018404
shell 3,100000,2.57416
shell 4,10,2.33333e-06
shell 4,100,1.33333e-05
shell 4,1000,0.000429333
shell 4,10000,0.0237763
shell 4,100000,4.39538
shell 5,10,3e-06
shell 5,100,1.6e-05
shell 5,1000,0.000823333
shell 5,10000,0.0521097
shell 5,100000,2.30307
