sort,n,seconds
shell 0,10,1.33333e-06
shell 0,100,2.6e-05
shell 0,1000,0.001391
shell 0,10000,0.123547
shell 0,100000,15.9025
shell 1,10,7e-06
shell 1,100,4.26667e-05
shell 1,1000,0.001874
shell 1,10000,0.125472
shell 1,100000,12.2305
shell 2,10,2e-06
shell 2,100,4.03333e-05
shell 2,1000,0.001695
shell 2,10000,0.106047
shell 2,100000,12.0835
shell 3,10,3e-06
shell 3,100,4.23333e-05
shell 3,1000,0.002092
shell 3,10000,0.155442
shell 3,100000,13.6163
shell 4,10,2.33333e-06
shell 4,100,2.63333e-05
shell 4,1000,0.00191167
shell 4,10000,0.116026
shell 4,100000,12.6638
shell 5,10,2.33333e-06
shell 5,100,3.73333e-05
shell 5,1000,0.00201667
shell 5,10000,0.129221
shell 5,100000,11.5812
